unknown,interval,tos,payload,num_pack,stored_capacity,Num_Flows,label
100000,1,2,382,1,179596,998,0
100000,0.147361994,1,170,1,1710246,862,0
100000,0.16418004,2,158,1,457147,407,0
100000,0.116833925,3,258,1,1548592,664,0
100000,0.114048004,1,207,1,1794190,732,0
100000,0.167047977,0,396,1,1003445,229,0
100000,0.116780043,0,164,1,1606288,792,0
100000,0.114101171,2,317,1,1785694,196,0
100000,0.131380081,0,145,1,1715387,302,0
100000,0.164917946,3,279,1,40604,467,0
100000,0.116122007,3,238,1,1203960,293,0
100000,0.114856005,1,214,1,1128643,43,0
100000,0.147629976,0,163,1,639575,744,0
100000,0.164210081,2,221,1,1831251,16,0
100000,0.097867966,3,278,1,88545,179,0
100000,0.164304972,3,305,1,1613830,80,0
100000,0.101204872,0,223,1,1838889,797,0
100000,0.164208889,0,320,1,1907625,618,0
100000,0.148234129,0,335,1,1309102,863,0
100000,0.097450018,1,346,1,146327,215,0
100000,0.147387028,0,169,1,537739,665,0
100000,0.117583036,1,264,1,266206,135,0
100000,0.148698807,0,129,1,1721221,67,0
100000,0.13157177,0,301,1,1391330,705,0
100000,0.129286051,0,295,1,1805958,208,0
100000,0.130475044,2,276,1,864543,197,0
100000,0.133496046,0,331,1,101108,102,0
100000,0.178790092,1,231,1,742964,923,0
100000,0.099914074,2,153,1,64004,1016,0
100000,0.131551981,0,276,1,73459,509,0
100000,0.128021955,3,282,1,760593,28,0
100000,0.146064043,3,314,1,167229,800,0
100000,0.164340973,0,251,1,1078223,402,0
100000,0.114248037,3,252,1,1149629,730,0
100000,0.129014969,3,396,1,134008,1040,0
100000,0.16447401,0,273,1,1915167,813,0
100000,0.114624023,3,295,1,116755,835,0
100000,0.114492893,1,240,1,1665605,1015,0
100000,0.164524794,0,343,1,1222021,946,0
100000,0.114538908,0,214,1,464212,767,0
100000,0.128102064,0,370,1,658276,429,0
100000,0.114224911,0,141,1,1438434,1075,0
100000,0.164575815,3,278,1,1716781,118,0
100000,0.114470005,2,357,1,1614781,898,0
100000,0.114754915,3,224,1,1621739,942,0
100000,0.166392803,0,372,1,1726566,865,0
100000,0.114590883,0,188,1,1669446,113,0
100000,0.11443615,1,165,1,1803779,817,0
100000,0.164624929,3,361,1,492506,576,0
100000,0.114709139,2,124,1,713154,565,0
100000,0.114552021,2,358,1,1017205,804,0
100000,0.16464901,2,224,1,1467678,996,0
100000,0.114597082,1,181,1,366512,174,0
100000,0.114547014,2,134,1,1842554,483,0
100000,0.164554119,0,245,1,384213,19,0
100000,0.114593029,0,216,1,897553,280,0
100000,0.164824009,0,319,1,245681,11,0
100000,0.115492105,3,304,1,1775375,134,0
100000,0.114987135,1,315,1,1762467,312,0
100000,0.164784908,1,234,1,315872,484,0
100000,0.11453414,2,132,1,1583018,34,0
100000,0.164793015,2,131,1,1177110,33,0
